GeoFIPS;GeoName;Description;2019;2020
" ""27000""";Minnesota;Gross operating surplus (millions of dollars);140906.7;(NA)
" ""27000""";Minnesota;Taxes on production and imports (TOPI) less subsides (millions of dollars);24807.8;(NA)
" ""27000""";Minnesota; Taxes on production and imports (TOPI) (millions of dollars);27141.2;(NA)
" ""27000""";Minnesota; Subsidies (millions of dollars);-2333.4;(NA)
" ""28000""";Mississippi;Real GDP (millions of chained 2012 dollars)  ;102656.4;99757.4
" ""28000""";Mississippi;Chain-type quantity indexes for real GDP;103.052;100.142
" ""28000""";Mississippi;Current-dollar GDP (millions of current dollars);115971.3;114200.6
" ""28000""";Mississippi;Compensation (millions of dollars);63663.7;(NA)
" ""28000""";Mississippi;Gross operating surplus (millions of dollars);42708.4;(NA)
" ""28000""";Mississippi;Taxes on production and imports (TOPI) less subsides (millions of dollars);9599.2;(NA)
" ""28000""";Mississippi; Taxes on production and imports (TOPI) (millions of dollars);10432.9;(NA)
" ""28000""";Mississippi; Subsidies (millions of dollars);-833.6;(NA)
" ""29000""";Missouri;Real GDP (millions of chained 2012 dollars)  ;287659.3;277353.5
" ""29000""";Missouri;Chain-type quantity indexes for real GDP;106.991;103.158
" ""29000""";Missouri;Current-dollar GDP (millions of current dollars);328400.6;321708.8
" ""29000""";Missouri;Compensation (millions of dollars);191678.4;(NA)
" ""29000""";Missouri;Gross operating surplus (millions of dollars);118476.6;(NA)
" ""29000""";Missouri;Taxes on production and imports (TOPI) less subsides (millions of dollars);18245.6;(NA)
" ""29000""";Missouri; Taxes on production and imports (TOPI) (millions of dollars);20119.1;(NA)
" ""29000""";Missouri; Subsidies (millions of dollars);-1873.4;(NA)
" ""30000""";Montana;Real GDP (millions of chained 2012 dollars)  ;47916.3;46486.3
" ""30000""";Montana;Chain-type quantity indexes for real GDP;113.974;110.572
" ""30000""";Montana;Current-dollar GDP (millions of current dollars);52934.6;51488.7
" ""30000""";Montana;Compensation (millions of dollars);28213.3;(NA)
" ""30000""";Montana;Gross operating surplus (millions of dollars);21879.3;(NA)
" ""30000""";Montana;Taxes on production and imports (TOPI) less subsides (millions of dollars);2842;(NA)
" ""30000""";Montana; Taxes on production and imports (TOPI) (millions of dollars);3345.8;(NA)
" ""30000""";Montana; Subsidies (millions of dollars);-503.8;(NA)
" ""31000""";Nebraska;Real GDP (millions of chained 2012 dollars)  ;117395.2;114957.3
" ""31000""";Nebraska;Chain-type quantity indexes for real GDP;114.414;112.038
" ""31000""";Nebraska;Current-dollar GDP (millions of current dollars);130011.8;128808.7
" ""31000""";Nebraska;Compensation (millions of dollars);65488.6;(NA)
" ""31000""";Nebraska;Gross operating surplus (millions of dollars);57418.3;(NA)
" ""31000""";Nebraska;Taxes on production and imports (TOPI) less subsides (millions of dollars);7104.8;(NA)
" ""31000""";Nebraska; Taxes on production and imports (TOPI) (millions of dollars);8654.1;(NA)
" ""31000""";Nebraska; Subsidies (millions of dollars);-1549.2;(NA)
" ""32000""";Nevada;Real GDP (millions of chained 2012 dollars)  ;153728.6;146667.9
" ""32000""";Nevada;Chain-type quantity indexes for real GDP;120.299;114.773
" ""32000""";Nevada;Current-dollar GDP (millions of current dollars);178199.4;172597.6
" ""32000""";Nevada;Compensation (millions of dollars);94124;(NA)
" ""32000""";Nevada;Gross operating surplus (millions of dollars);67045.1;(NA)
" ""32000""";Nevada;Taxes on production and imports (TOPI) less subsides (millions of dollars);17030.4;(NA)
" ""32000""";Nevada; Taxes on production and imports (TOPI) (millions of dollars);17416.9;(NA)
" ""32000""";Nevada; Subsidies (millions of dollars);-386.6;(NA)
" ""33000""";New Hampshire;Real GDP (millions of chained 2012 dollars)  ;77240.3;73604
" ""33000""";New Hampshire;Chain-type quantity indexes for real GDP;114.201;108.824
" ""33000""";New Hampshire;Current-dollar GDP (millions of current dollars);87634.1;85109.3
" ""33000""";New Hampshire;Compensation (millions of dollars);49267.9;(NA)
" ""33000""";New Hampshire;Gross operating surplus (millions of dollars);31709.9;(NA)
" ""33000""";New Hampshire;Taxes on production and imports (TOPI) less subsides (millions of dollars);6656.4;(NA)
" ""33000""";New Hampshire; Taxes on production and imports (TOPI) (millions of dollars);6802.5;(NA)
" ""33000""";New Hampshire; Subsidies (millions of dollars);-146.1;(NA)
" ""34000""";New Jersey;Real GDP (millions of chained 2012 dollars)  ;556731;534133.8
" ""34000""";New Jersey;Chain-type quantity indexes for real GDP;107.152;102.803
" ""34000""";New Jersey;Current-dollar GDP (millions of current dollars);634783.6;619061.1
" ""34000""";New Jersey;Compensation (millions of dollars);349218.8;(NA)
" ""34000""";New Jersey;Gross operating surplus (millions of dollars);225998.3;(NA)
" ""34000""";New Jersey;Taxes on production and imports (TOPI) less subsides (millions of dollars);59566.6;(NA)
" ""34000""";New Jersey; Taxes on production and imports (TOPI) (millions of dollars);61192.3;(NA)
" ""34000""";New Jersey; Subsidies (millions of dollars);-1625.7;(NA)
" ""35000""";New Mexico;Real GDP (millions of chained 2012 dollars)  ;98765.7;95730.8
" ""35000""";New Mexico;Chain-type quantity indexes for real GDP;112.689;109.226
" ""35000""";New Mexico;Current-dollar GDP (millions of current dollars);105143.4;100310.1
" ""35000""";New Mexico;Compensation (millions of dollars);53207.9;(NA)
" ""35000""";New Mexico;Gross operating surplus (millions of dollars);44009;(NA)
" ""35000""";New Mexico;Taxes on production and imports (TOPI) less subsides (millions of dollars);7926.4;(NA)
" ""35000""";New Mexico; Taxes on production and imports (TOPI) (millions of dollars);8256;(NA)
" ""35000""";New Mexico; Subsidies (millions of dollars);-329.6;(NA)
" ""36000""";New York;Real GDP (millions of chained 2012 dollars)  ;1490678.5;1402411.5
" ""36000""";New York;Chain-type quantity indexes for real GDP;112.64;105.97
" ""36000""";New York;Current-dollar GDP (millions of current dollars);1772260.7;1699044.7
" ""36000""";New York;Compensation (millions of dollars);909997.1;(NA)
" ""36000""";New York;Gross operating surplus (millions of dollars);743118.2;(NA)
" ""36000""";New York;Taxes on production and imports (TOPI) less subsides (millions of dollars);119145.4;(NA)
" ""36000""";New York; Taxes on production and imports (TOPI) (millions of dollars);126322.1;(NA)
" ""36000""";New York; Subsidies (millions of dollars);-7176.7;(NA)
" ""37000""";North Carolina;Real GDP (millions of chained 2012 dollars)  ;511539.9;498739.5
" ""37000""";North Carolina;Chain-type quantity indexes for real GDP;116.381;113.469
" ""37000""";North Carolina;Current-dollar GDP (millions of current dollars);591600.9;586136.2
" ""37000""";North Carolina;Compensation (millions of dollars);316423.2;(NA)
" ""37000""";North Carolina;Gross operating surplus (millions of dollars);240086.8;(NA)
" ""37000""";North Carolina;Taxes on production and imports (TOPI) less subsides (millions of dollars);35090.8;(NA)
" ""37000""";North Carolina; Taxes on production and imports (TOPI) (millions of dollars);36573.9;(NA)
" ""37000""";North Carolina; Subsidies (millions of dollars);-1483;(NA)
" ""38000""";North Dakota;Real GDP (millions of chained 2012 dollars)  ;53930.2;52021.1
" ""38000""";North Dakota;Chain-type quantity indexes for real GDP;104.466;100.768
" ""38000""";North Dakota;Current-dollar GDP (millions of current dollars);57180.9;54032.9
" ""38000""";North Dakota;Compensation (millions of dollars);29998.6;(NA)
" ""38000""";North Dakota;Gross operating surplus (millions of dollars);23567.3;(NA)
" ""38000""";North Dakota;Taxes on production and imports (TOPI) less subsides (millions of dollars);3615.1;(NA)
" ""38000""";North Dakota; Taxes on production and imports (TOPI) (millions of dollars);5297.4;(NA)
" ""38000""";North Dakota; Subsidies (millions of dollars);-1682.4;(NA)
" ""39000""";Ohio;Real GDP (millions of chained 2012 dollars)  ;615474.4;591119.7
" ""39000""";Ohio;Chain-type quantity indexes for real GDP;113.791;109.288
" ""39000""";Ohio;Current-dollar GDP (millions of current dollars);695361.6;675037.3
" ""39000""";Ohio;Compensation (millions of dollars);374612.3;(NA)
" ""39000""";Ohio;Gross operating surplus (millions of dollars);274630.5;(NA)
" ""39000""";Ohio;Taxes on production and imports (TOPI) less subsides (millions of dollars);46118.8;(NA)
" ""39000""";Ohio; Taxes on production and imports (TOPI) (millions of dollars);48049.7;(NA)
" ""39000""";Ohio; Subsidies (millions of dollars);-1930.9;(NA)
" ""40000""";Oklahoma;Real GDP (millions of chained 2012 dollars)  ;197900.4;185884.1
" ""40000""";Oklahoma;Chain-type quantity indexes for real GDP;114.236;107.299
" ""40000""";Oklahoma;Current-dollar GDP (millions of current dollars);202036.1;186581.4
" ""40000""";Oklahoma;Compensation (millions of dollars);105500.6;(NA)
" ""40000""";Oklahoma;Gross operating surplus (millions of dollars);84178.2;(NA)
" ""40000""";Oklahoma;Taxes on production and imports (TOPI) less subsides (millions of dollars);12357.3;(NA)
" ""40000""";Oklahoma; Taxes on production and imports (TOPI) (millions of dollars);13163.4;(NA)
" ""40000""";Oklahoma; Subsidies (millions of dollars);-806.1;(NA)
" ""41000""";Oregon;Real GDP (millions of chained 2012 dollars)  ;225336.8;218968.4
" ""41000""";Oregon;Chain-type quantity indexes for real GDP;129.186;125.535
" ""41000""";Oregon;Current-dollar GDP (millions of current dollars);253623.2;250458.5
" ""41000""";Oregon;Compensation (millions of dollars);140057.9;(NA)
" ""41000""";Oregon;Gross operating surplus (millions of dollars);101569.5;(NA)
" ""41000""";Oregon;Taxes on production and imports (TOPI) less subsides (millions of dollars);11995.7;(NA)
" ""41000""";Oregon; Taxes on production and imports (TOPI) (millions of dollars);12786.7;(NA)
" ""41000""";Oregon; Subsidies (millions of dollars);-791;(NA)
" ""42000""";Pennsylvania;Real GDP (millions of chained 2012 dollars)  ;726165.9;694195.5
" ""42000""";Pennsylvania;Chain-type quantity indexes for real GDP;113.346;108.356
" ""42000""";Pennsylvania;Current-dollar GDP (millions of current dollars);808737.5;780176.1
" ""42000""";Pennsylvania;Compensation (millions of dollars);441883.9;(NA)
" ""42000""";Pennsylvania;Gross operating surplus (millions of dollars);314351.6;(NA)
" ""42000""";Pennsylvania;Taxes on production and imports (TOPI) less subsides (millions of dollars);52502;(NA)
" ""42000""";Pennsylvania; Taxes on production and imports (TOPI) (millions of dollars);54581.5;(NA)
" ""42000""";Pennsylvania; Subsidies (millions of dollars);-2079.5;(NA)
" ""44000""";Rhode Island;Real GDP (millions of chained 2012 dollars)  ;53668;51234.2
" ""44000""";Rhode Island;Chain-type quantity indexes for real GDP;103.993;99.277
" ""44000""";Rhode Island;Current-dollar GDP (millions of current dollars);61883.8;60224.7
" ""44000""";Rhode Island;Compensation (millions of dollars);35530.8;(NA)
" ""44000""";Rhode Island;Gross operating surplus (millions of dollars);21177.4;(NA)
" ""44000""";Rhode Island;Taxes on production and imports (TOPI) less subsides (millions of dollars);5175.6;(NA)
" ""44000""";Rhode Island; Taxes on production and imports (TOPI) (millions of dollars);5349.3;(NA)
" ""44000""";Rhode Island; Subsidies (millions of dollars);-173.7;(NA)
" ""45000""";South Carolina;Real GDP (millions of chained 2012 dollars)  ;214933.7;206217.7
" ""45000""";South Carolina;Chain-type quantity indexes for real GDP;122.589;117.618
" ""45000""";South Carolina;Current-dollar GDP (millions of current dollars);247543.8;241688.7
" ""45000""";South Carolina;Compensation (millions of dollars);136193.7;(NA)
" ""45000""";South Carolina;Gross operating surplus (millions of dollars);93143;(NA)
" ""45000""";South Carolina;Taxes on production and imports (TOPI) less subsides (millions of dollars);18207.1;(NA)
" ""45000""";South Carolina; Taxes on production and imports (TOPI) (millions of dollars);18766.4;(NA)
" ""45000""";South Carolina; Subsidies (millions of dollars);-559.4;(NA)
" ""46000""";South Dakota;Real GDP (millions of chained 2012 dollars)  ;47559.7;46761.6
" ""46000""";South Dakota;Chain-type quantity indexes for real GDP;109.205;107.373
" ""46000""";South Dakota;Current-dollar GDP (millions of current dollars);54940.9;54852.1
" ""46000""";South Dakota;Compensation (millions of dollars);25814.4;(NA)
" ""46000""";South Dakota;Gross operating surplus (millions of dollars);26191.6;(NA)
" ""46000""";South Dakota;Taxes on production and imports (TOPI) less subsides (millions of dollars);2934.9;(NA)
" ""46000""";South Dakota; Taxes on production and imports (TOPI) (millions of dollars);4357.4;(NA)
